Date,Description,Amount
2026-05-01,Payroll Direct Deposit ADP,5200.00
2026-05-02,WHOLEFDS MKT #1847,-127.43
2026-05-03,NETFLIX.COM,-15.99
2026-05-03,SPOTIFY USA,-9.99
2026-05-04,CHIPOTLE MEXICAN GRILL,-18.45
2026-05-05,SHELL OIL 12345,-62.40
2026-05-05,AMAZON.COM*PURCHASE,-67.32
2026-05-06,DOORDASH*DELIVERY,-34.20
2026-05-07,ZELLE Transfer - Landlord,-1850.00
2026-05-08,STARBUCKS STORE #1234,-12.80
2026-05-08,KROGER #0512,-98.21
2026-05-09,UBER EATS,-28.50
2026-05-10,AT&T UVERSE,-89.00
2026-05-10,TXUENERGY,-120.45
2026-05-11,TARGET 0123,-54.10
2026-05-12,CVS PHARMACY #4521,-23.14
2026-05-12,HULU,-17.99
2026-05-13,AMAZON PRIME,-14.99
2026-05-14,BLUE CROSS SHIELD,-245.00
2026-05-15,UBER *TRIP,-14.20
